@relation weka_train

@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {bad,good}

@data
0.557522,0.280822,0.49,0.253425,0.176962,0.126761,0.038869,0.743759,0.259843,0.137725,0.507692,bad
0.283186,0.30137,0.19,0.075342,0.115192,0.225352,0.360424,0.450073,0.456693,0.125749,0.169231,bad
0.221239,0.342466,0.06,0.027397,0.096828,0.056338,0.021201,0.303231,0.338583,0.08982,0.215385,bad
0.221239,0.150685,0.28,0.075342,0.116861,0.422535,0.219081,0.504405,0.559055,0.08982,0.153846,bad
0.336283,0.35274,0.36,0.075342,0.128548,0.197183,0.173145,0.54185,0.448819,0.143713,0.307692,bad
0.619469,0.243151,0.4,0.034247,0.131886,0.070423,0.077739,0.511747,0.259843,0.191617,0.251282,bad
0.699115,0.232877,0.49,0.246575,0.096828,0.352113,0.151943,0.589574,0.244094,0.143713,0.184615,bad
0.477876,0.253425,0.2,0.691781,0.098497,0.169014,0.155477,0.839207,0.330709,0.215569,0.123077,bad
0.345133,0.041096,0.51,0.058219,0.098497,0.619718,0.289753,0.379589,0.464567,0.257485,0.523077,good
0.20354,0.376712,0.06,0.082192,0.113523,0.098592,0.095406,0.615272,0.740157,0.227545,0.184615,bad
0.39823,0.116438,0.33,0.078767,0.085142,0.169014,0.074205,0.373715,0.409449,0.305389,0.507692,good
0.150442,0.383562,0.01,0.191781,0.15192,0.43662,0.169611,0.42511,0.606299,0.197605,0.446154,bad
0.283186,0.541096,0.07,0.068493,0.076795,0.295775,0.144876,0.380323,0.606299,0.05988,0.353846,bad
0.318584,0.109589,0.6,0.143836,0.153589,0.126761,0.056537,0.60279,0.511811,0.209581,0.338462,bad
0.265487,0.294521,0.21,0.089041,0.098497,0.084507,0.077739,0.464758,0.425197,0.131737,0.2,bad
0.292035,0.150685,0.36,0.068493,0.088481,0.056338,0.014134,0.302496,0.417323,0.125749,0.430769,good
0.522124,0.321918,0.49,0.082192,0.096828,0.183099,0.144876,0.662996,0.440945,0.137725,0.184615,bad
0.522124,0.09589,0.47,0.068493,0.110184,0.070423,0.063604,0.552863,0.346457,0.42515,0.384615,good
0.327434,0.328767,0.13,0.116438,0.12187,0.070423,0.063604,0.611601,0.448819,0.155689,0.123077,bad
0.371681,0.226027,0.43,0.034247,0.106845,0.15493,0.053004,0.399413,0.370079,0.251497,0.276923,bad
0.274336,0.075342,0.37,0.061644,0.056761,0.309859,0.190813,0.516153,0.527559,0.227545,0.569231,bad
